id	Level	LFC	qval	SE	sType	Species
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Niallia	Burn	-3.58502418908155	1.66421994701616E-07	0.600307880383401	BS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Crossiella	Burn	-3.57153842860885	1.35209161316662E-10	0.507085832902064	BS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Paenarthrobacter	Burn	2.62957359812921	0.0210160695880165	0.738703377494367	BS	L_serriola
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella	Burn	1.1079261002849	0.0012401778851669	0.259562910820321	BS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;__;__;__	Burn	-2.22790786589047	0.0210160695880165	0.625548347044475	BS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__	Burn	3.31837363386246	0.0152488725268334	0.908214701252813	BS	L_serriola
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Mesorhizobium	Burn	1.84407021581067	0.0197538831916633	0.514772895755658	BS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Leifsonia	Burn	3.93733481488888	1.94193501192308E-07	0.662356919995484	BS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter	Burn	3.49239203600561	0.0058996501703804	0.895786650771115	BS	L_serriola
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	Burn	4.77168135205646	0.0026293555630917	1.17113126126091	RhS	L_serriola
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia-Caballeronia-Paraburkholderia	Burn	2.04474124096684	0.0409016207664999	0.609987016266624	RhS	L_serriola
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Niallia	Burn	-3.00678649576613	0.0039790442406329	0.756856996220479	RhS	L_serriola
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia	Burn	2.37064372305653	0.0020702360414735	0.57348909371519	RhS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;__;__;__	Burn	-1.93536907945666	0.004039149705602	0.488130515991499	RhS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus	Burn	3.38384997815719	0.0012613027088863	0.795497512101191	RhS	L_serriola
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter	Burn	2.37966562166415	0.0099919971986754	0.636509975519317	RhS	L_serriola
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Subgroup_10	Burn	-2.71419334258063	0.0016991988179551	0.648901122873629	RhS	L_serriola
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinomycetospora	Burn	-3.13951563440375	2.84792595832388E-11	0.433441744459156	RhS	L_serriola
